=== exp004: Stage 2 Conditional Diffusion (first diffusion training) ===
Start time: Tue Mar 24 14:59:39     2026
Changes:
  - First Stage 2 training: conditional DDPM with 1D U-Net denoiser
  - Frozen encoder from exp003
  - batch=16, lr=2e-4, epochs=200, ema_decay=0.9999, T=1000
Device: cuda
Config: {
  "data_dir": "C:\\lxr\\study\\final\\datagen",
  "output_dir": "experiments/checkpoints/exp004",
  "instruments": [
    "vn",
    "tpt",
    "fl"
  ],
  "crop_len": 512,
  "seed": 42,
  "stage1": {
    "batch_size": 32,
    "lr": 0.001,
    "epochs": 100,
    "lam": 1.0,
    "patience": 15,
    "lr_patience": 5,
    "lr_factor": 0.5,
    "dropout": 0.3
  },
  "stage2": {
    "batch_size": 16,
    "lr": 0.0002,
    "epochs": 200,
    "ema_decay": 0.9999,
    "n_diffusion_steps": 1000
  },
  "save_every": 10
}
Loaded baseline from experiments/checkpoints/exp004\baseline_best.pt

============================================================
Stage 2: Training Conditional Diffusion Model
============================================================
Amp log stats: mean=-4.8466, std=1.2020
Epoch 1/200  train=1.319898  test=1.218009
Epoch 2/200  train=1.091391  test=0.982486
Epoch 3/200  train=0.964969  test=0.908258
Epoch 4/200  train=0.877666  test=0.874681
Epoch 5/200  train=0.742818  test=0.529261
Epoch 6/200  train=0.462991  test=0.406597
Epoch 7/200  train=0.261411  test=0.220604
Epoch 8/200  train=0.260710  test=0.297808
Epoch 9/200  train=0.270240  test=0.171196
Epoch 10/200  train=0.226364  test=0.141992
Epoch 11/200  train=0.186358  test=0.198159
Epoch 12/200  train=0.143064  test=0.243721
Epoch 13/200  train=0.194898  test=0.267767
Epoch 14/200  train=0.179582  test=0.205393
Epoch 15/200  train=0.209991  test=0.118441
Epoch 16/200  train=0.166575  test=0.091737
Epoch 17/200  train=0.125376  test=0.130323
Epoch 18/200  train=0.156758  test=0.162813
Epoch 19/200  train=0.146728  test=0.171311
Epoch 20/200  train=0.152090  test=0.138676
Epoch 21/200  train=0.135806  test=0.215949
Epoch 22/200  train=0.143713  test=0.108650
Epoch 23/200  train=0.161862  test=0.149159
Epoch 24/200  train=0.133557  test=0.198270
Epoch 25/200  train=0.137469  test=0.102446
Epoch 26/200  train=0.115094  test=0.126828
Epoch 27/200  train=0.099754  test=0.204880
Epoch 28/200  train=0.112775  test=0.170479
Epoch 29/200  train=0.141599  test=0.112810
Epoch 30/200  train=0.145324  test=0.102738
Epoch 31/200  train=0.081337  test=0.126673
Epoch 32/200  train=0.109220  test=0.048813
Epoch 33/200  train=0.107394  test=0.091307
Epoch 34/200  train=0.096834  test=0.090037
Epoch 35/200  train=0.095830  test=0.102756
Epoch 36/200  train=0.098175  test=0.121330
Epoch 37/200  train=0.111890  test=0.121976
Epoch 38/200  train=0.105857  test=0.165510
Epoch 39/200  train=0.094283  test=0.123894
Epoch 40/200  train=0.127235  test=0.210157
Epoch 41/200  train=0.059993  test=0.104523
Epoch 42/200  train=0.105463  test=0.123989
Epoch 43/200  train=0.110884  test=0.072627
Epoch 44/200  train=0.124425  test=0.078046
Epoch 45/200  train=0.108351  test=0.130544
Epoch 46/200  train=0.095758  test=0.152373
Epoch 47/200  train=0.141020  test=0.097937
Epoch 48/200  train=0.105215  test=0.107419
Epoch 49/200  train=0.096929  test=0.106026
Epoch 50/200  train=0.072286  test=0.118162
Epoch 51/200  train=0.115736  test=0.081075
Epoch 52/200  train=0.112111  test=0.116988
Epoch 53/200  train=0.104441  test=0.179579
Epoch 54/200  train=0.082587  test=0.084093
Epoch 55/200  train=0.111760  test=0.105366
Epoch 56/200  train=0.074916  test=0.114311
Epoch 57/200  train=0.081608  test=0.130273
Epoch 58/200  train=0.110714  test=0.093854
Epoch 59/200  train=0.118723  test=0.141986
Epoch 60/200  train=0.104908  test=0.084961
Epoch 61/200  train=0.103714  test=0.075253
Epoch 62/200  train=0.089867  test=0.153260
Epoch 63/200  train=0.085314  test=0.173287
Epoch 64/200  train=0.131418  test=0.076961
Epoch 65/200  train=0.094849  test=0.131489
Epoch 66/200  train=0.083770  test=0.059828
Epoch 67/200  train=0.104663  test=0.081694
Epoch 68/200  train=0.114059  test=0.082657
Epoch 69/200  train=0.108260  test=0.127930
Epoch 70/200  train=0.090212  test=0.080044
Epoch 71/200  train=0.092248  test=0.147273
Epoch 72/200  train=0.110468  test=0.121217
Epoch 73/200  train=0.106087  test=0.150915
Epoch 74/200  train=0.109261  test=0.068518
Epoch 75/200  train=0.099353  test=0.125825
Epoch 76/200  train=0.099151  test=0.111360
Epoch 77/200  train=0.100503  test=0.100355
Epoch 78/200  train=0.088617  test=0.099488
Epoch 79/200  train=0.105592  test=0.107801
Epoch 80/200  train=0.075493  test=0.059156
Epoch 81/200  train=0.085148  test=0.137169
Epoch 82/200  train=0.057251  test=0.041447
Epoch 83/200  train=0.104474  test=0.127153
Epoch 84/200  train=0.069302  test=0.049357
Epoch 85/200  train=0.089880  test=0.097840
Epoch 86/200  train=0.109274  test=0.108459
Epoch 87/200  train=0.087084  test=0.088992
Epoch 88/200  train=0.091927  test=0.136621
Epoch 89/200  train=0.095166  test=0.087555
Epoch 90/200  train=0.120371  test=0.081396
Epoch 91/200  train=0.087494  test=0.063304
Epoch 92/200  train=0.079401  test=0.119141
Epoch 93/200  train=0.084895  test=0.127226
Epoch 94/200  train=0.106758  test=0.129144
Epoch 95/200  train=0.063339  test=0.086360
Epoch 96/200  train=0.117351  test=0.097908
Epoch 97/200  train=0.073598  test=0.138994
Epoch 98/200  train=0.065143  test=0.088891
Epoch 99/200  train=0.113564  test=0.084655
Epoch 100/200  train=0.103688  test=0.089109
Epoch 101/200  train=0.098839  test=0.149003
Epoch 102/200  train=0.094450  test=0.099563
Epoch 103/200  train=0.061657  test=0.039704
Epoch 104/200  train=0.082079  test=0.165569
Epoch 105/200  train=0.113121  test=0.074532
Epoch 106/200  train=0.076460  test=0.085510
Epoch 107/200  train=0.074387  test=0.116800
Epoch 108/200  train=0.075270  test=0.112684
Epoch 109/200  train=0.084007  test=0.165397
Epoch 110/200  train=0.087913  test=0.144895
Epoch 111/200  train=0.074638  test=0.085912
