=== exp005: Stage 2 Diffusion — Fix EMA + Increase Training Steps ===
Start time: Tue Mar 24 15:27:58     2026
Changes:
  - [C1] EMA decay: 0.9999 -> 0.995
  - [C1] samples_per_epoch: 1180 (59 tracks * 20) -> ~73 batches/epoch -> 14600 total steps
  - [C1] Save raw (non-EMA) checkpoints alongside EMA
  - [C2] Best checkpoint selected by test_loss (not train_loss)
Device: cuda
Config: {
  "data_dir": "C:\\lxr\\study\\final\\datagen",
  "output_dir": "experiments/checkpoints/exp005",
  "instruments": [
    "vn",
    "tpt",
    "fl"
  ],
  "crop_len": 512,
  "seed": 42,
  "stage1": {
    "batch_size": 32,
    "lr": 0.001,
    "epochs": 100,
    "lam": 1.0,
    "patience": 15,
    "lr_patience": 5,
    "lr_factor": 0.5,
    "dropout": 0.3
  },
  "stage2": {
    "batch_size": 16,
    "lr": 0.0002,
    "epochs": 200,
    "ema_decay": 0.995,
    "n_diffusion_steps": 1000,
    "samples_per_epoch": 1180
  },
  "save_every": 10
}
Loaded baseline from experiments/checkpoints/exp005\baseline_best.pt

============================================================
Stage 2: Training Conditional Diffusion Model
============================================================
Train: 59 tracks, samples_per_epoch=1180
Amp log stats: mean=-4.8466, std=1.2020
Epoch 1/200  train=0.327224  test=0.128304
  -> New best test_loss=0.128304, saved raw+ema checkpoints
Epoch 2/200  train=0.109887  test=0.124139
  -> New best test_loss=0.124139, saved raw+ema checkpoints
Epoch 3/200  train=0.096213  test=0.079028
  -> New best test_loss=0.079028, saved raw+ema checkpoints
Epoch 4/200  train=0.092509  test=0.140631
Epoch 5/200  train=0.083057  test=0.137312
Epoch 6/200  train=0.082708  test=0.085626
Epoch 7/200  train=0.087413  test=0.088976
Epoch 8/200  train=0.082412  test=0.105698
Epoch 9/200  train=0.081713  test=0.150275
Epoch 10/200  train=0.084994  test=0.094255
Epoch 11/200  train=0.080754  test=0.117441
Epoch 12/200  train=0.073719  test=0.111539
Epoch 13/200  train=0.078993  test=0.094821
Epoch 14/200  train=0.084238  test=0.106472
Epoch 15/200  train=0.077987  test=0.095247
Epoch 16/200  train=0.079682  test=0.043273
  -> New best test_loss=0.043273, saved raw+ema checkpoints
Epoch 17/200  train=0.079373  test=0.091227
Epoch 18/200  train=0.077230  test=0.093057
Epoch 19/200  train=0.072993  test=0.093437
Epoch 20/200  train=0.076089  test=0.165316
Epoch 21/200  train=0.078600  test=0.114115
Epoch 22/200  train=0.074380  test=0.079521
Epoch 23/200  train=0.074636  test=0.087695
Epoch 24/200  train=0.074738  test=0.086602
Epoch 25/200  train=0.076681  test=0.078919
Epoch 26/200  train=0.072178  test=0.106599
Epoch 27/200  train=0.076825  test=0.093240
Epoch 28/200  train=0.072672  test=0.114873
Epoch 29/200  train=0.075510  test=0.100484
Epoch 30/200  train=0.071577  test=0.094295
Epoch 31/200  train=0.075888  test=0.112585
Epoch 32/200  train=0.073569  test=0.063420
Epoch 33/200  train=0.074214  test=0.089646
Epoch 34/200  train=0.074477  test=0.183186
Epoch 35/200  train=0.067371  test=0.086347
Epoch 36/200  train=0.072974  test=0.084112
Epoch 37/200  train=0.075594  test=0.112143
Epoch 38/200  train=0.069773  test=0.060934
Epoch 39/200  train=0.071976  test=0.089003
Epoch 40/200  train=0.073001  test=0.095940
Epoch 41/200  train=0.077835  test=0.079558
Epoch 42/200  train=0.072063  test=0.081316
Epoch 43/200  train=0.069436  test=0.069976
Epoch 44/200  train=0.073374  test=0.099730
Epoch 45/200  train=0.070922  test=0.091669
Epoch 46/200  train=0.068097  test=0.078851
Epoch 47/200  train=0.073145  test=0.067241
Epoch 48/200  train=0.079031  test=0.045083
Epoch 49/200  train=0.069976  test=0.113323
Epoch 50/200  train=0.069136  test=0.128293
Epoch 51/200  train=0.070596  test=0.104238
Epoch 52/200  train=0.071977  test=0.081086
Epoch 53/200  train=0.073038  test=0.101054
Epoch 54/200  train=0.075034  test=0.058109
Epoch 55/200  train=0.070942  test=0.156319
